Name,cat,manufacturer,model,insulation type,jacket type,od,kgm,jackThickness,guage,#conduits,grade,part#,Item#
Generic (TP TP 2 7),1,GENERIC,GENERIC,2,2,25.527,1.461377048,2.032,2,7,Industrial Grade,22136,1433
Generic (TP TP 4 7),1,GENERIC,GENERIC,2,2,22.352,1.044691128,2.032,4,7,Industrial Grade,22135,1432
Generic (TP TP 6 7),1,GENERIC,GENERIC,2,2,18.161,0.681579112,1.524,6,7,Industrial Grade,22134,1101
Generic (TP TP 8 7),1,GENERIC,GENERIC,2,2,16.51,0.529786384,1.524,8,7,Industrial Grade,22133,1100
Generic (TP TP 9 2),1,GENERIC,GENERIC,2,2,10.16,0.217271944,0.381,9,2,Class 1E Nuclear,203-76-3652,21
Generic (TS TS 9 2),1,GENERIC,GENERIC,1,1,14.986,0.389898968,1.524,9,2,Nuclear Qualified 383,202-14-2652,852
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,12.446,0.285727488,1.143,9,2,Industrial Grade,202-10-2652,318
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,18.288,0.452401856,1.524,9,2,Nuclear Tracability,202-14-6652,827
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,14.986,0.389898968,1.524,9,2,Nuclear Qualified 383,202-14-2652,852
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,17.018,0.429781763,1.524,9,2,Nuclear Tracability,202-10-6652,879
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,14.732,0.321443424,1.524,9,2,Nuclear Qualified,202-16-2652,915
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,16.256,0.375017328,1.524,9,2,Nuclear Qualified,202-18-2652,933
Generic (TP TP 9 3),1,GENERIC,GENERIC,2,2,13.462,0.29019198,1.143,9,3,Industrial Grade,203-84-2653,406
Generic (TS TS 9 3),1,GENERIC,GENERIC,1,1,15.748,0.443472872,1.524,9,3,Nuclear Qualified 383,202-14-2653,853
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,13.208,0.279774832,1.143,9,3,Industrial Grade,75030,170
